Date,PLAYER_NAME,Team,Opp,Fantasy_Team,Free_Agent,Injury_Status,Pred_MIN,Pred_FP,L3_FP_per_Min,Opp_DefRtg,Schedule_Rest,Long_Absence_Flag
2026-04-09,Trey Jemison III,NYK,BOS,Free Agent,True,ACTIVE,11.55,16.61,-0.07,111.33,-3,0
2026-04-09,Keshad Johnson,MIA,TOR,Free Agent,True,ACTIVE,17.98,16.32,0.84,110.91,-3,0
2026-04-09,Kasparas Jakucionis,MIA,TOR,Free Agent,True,ACTIVE,20.65,16.29,0.97,110.91,-3,0
2026-04-09,Adem Bona,PHI,HOU,Free Agent,True,ACTIVE,18.23,16.02,0.53,108.06,-3,0
2026-04-09,Nick Smith Jr.,LAL,GSW,Free Agent,True,ACTIVE,14.9,15.79,0.52,109.08,-3,0
2026-04-09,Max Shulga,BOS,NYK,Free Agent,True,ACTIVE,11.57,15.76,0.05,111.16,-3,0
2026-04-09,John Tonje,BOS,NYK,Free Agent,True,ACTIVE,13.39,15.31,1.08,111.16,-3,0
2026-04-09,Nolan Traore,BKN,IND,Sensei Kensei Konichiwa,False,ACTIVE,20.41,14.77,1.3,113.46,-1,0
2026-04-09,Adou Thiero,LAL,GSW,Free Agent,True,ACTIVE,12.36,14.42,0.84,109.08,-3,0
2026-04-09,Maxi Kleber,LAL,GSW,Free Agent,True,ACTIVE,14.17,14.01,0.45,109.08,-3,0
2026-04-09,Hugo Gonzalez,BOS,NYK,Free Agent,True,ACTIVE,12.18,13.99,0.47,111.16,-1,0
2026-04-09,Isaac Okoro,CHI,WAS,Free Agent,True,ACTIVE,26.6,13.71,0.85,120.41,2,0
2026-04-09,Tyrese Martin,PHI,HOU,Free Agent,True,ACTIVE,11.39,13.59,0.76,108.06,-3,0
2026-04-09,Jeff Green,HOU,PHI,Free Agent,True,ACTIVE,12.49,13.52,0.01,112.06,-3,0
2026-04-09,Jordan Clarkson,NYK,BOS,Free Agent,True,ACTIVE,16.83,13.44,0.9,111.33,-3,0
2026-04-09,Gradey Dick,TOR,MIA,Free Agent,True,ACTIVE,12.45,12.91,1.4,109.96,-3,0
2026-04-09,Taelon Peter,IND,BKN,Free Agent,True,ACTIVE,19.79,12.62,0.67,115.41,-3,0
2026-04-09,Ariel Hukporti,NYK,BOS,Free Agent,True,ACTIVE,15.12,12.48,1.36,111.33,-3,0
2026-04-09,Nikola Jovic,MIA,TOR,Free Agent,True,ACTIVE,10.27,12.0,0.24,110.91,4,0
2026-04-09,Seth Curry,GSW,LAL,Free Agent,True,ACTIVE,14.79,11.77,0.52,114.49,-3,0
2026-04-09,A.J. Lawson,TOR,MIA,Free Agent,True,ACTIVE,13.95,11.33,0.61,109.96,-3,0
2026-04-09,Nate Williams,GSW,LAL,Free Agent,True,ACTIVE,17.36,11.15,0.5,114.49,-3,0
2026-04-09,Markelle Fultz,TOR,MIA,Free Agent,True,ACTIVE,9.57,10.73,0.33,109.96,4,0
